Data;acd;pesid2;gravidade
04/09/2019;125;4;3,2
04/09/2020;214;24;11,21495327
04/10/2007;114;8;7,01754386
04/10/2008;233;38;16,30901288
04/10/2009;215;29;13,48837209
04/10/2010;162;19;11,72839506
04/10/2011;167;14;8,383233533
04/10/2012;196;28;14,28571429
04/10/2013;227;29;12,7753304
04/10/2014;263;34;12,92775665
04/10/2015;174;25;14,36781609
04/10/2016;176;17;9,659090909
04/10/2017;137;13;9,489051095
04/10/2018;137;10;7,299270073
04/10/2019;168;15;8,928571429
04/10/2020;186;25;13,44086022
04/11/2007;197;40;20,30456853
04/11/2008;124;6;4,838709677
04/11/2009;132;14;10,60606061
04/11/2010;147;14;9,523809524
04/11/2011;171;18;10,52631579
04/11/2012;258;32;12,40310078
04/11/2013;186;21;11,29032258
04/11/2014;145;15;10,34482759
04/11/2015;138;23;16,66666667
04/11/2016;159;15;9,433962264
04/11/2017;144;15;10,41666667
04/11/2018;178;24;13,48314607
04/11/2019;143;19;13,28671329
04/11/2020;110;9;8,181818182
04/12/2007;127;17;13,38582677
04/12/2008;136;11;8,088235294
04/12/2009;233;36;15,45064378
04/12/2010;244;48;19,67213115
04/12/2011;240;36;15
04/12/2012;155;23;14,83870968
04/12/2013;181;17;9,392265193
04/12/2014;183;21;11,47540984
04/12/2015;178;15;8,426966292
04/12/2016;217;26;11,98156682
04/12/2017;169;26;15,38461538
04/12/2018;120;15;12,5
04/12/2019;139;13;9,352517986
04/12/2020;165;35;21,21212121
05/01/2007;136;20;14,70588235
05/01/2008;152;20;13,15789474
05/01/2009;153;15;9,803921569
05/01/2010;143;22;15,38461538
05/01/2011;151;8;5,298013245
05/01/2012;151;17;11,25827815
05/01/2013;177;37;20,9039548
05/01/2014;184;22;11,95652174
05/01/2015;149;16;10,73825503
05/01/2016;115;9;7,826086957
05/01/2017;142;15;10,56338028
05/01/2018;177;17;9,604519774
05/01/2019;155;18;11,61290323
05/01/2020;142;13;9,154929577
05/02/2007;100;19;19
05/02/2008;130;22;16,92307692
05/02/2009;144;18;12,5
05/02/2010;183;18;9,836065574
05/02/2011;259;33;12,74131274
05/02/2012;239;32;13,38912134
05/02/2013;144;20;13,88888889
05/02/2014;158;15;9,493670886
05/02/2015;168;15;8,928571429
05/02/2016;184;18;9,782608696
05/02/2017;200;25;12,5
05/02/2018;144;18;12,5
05/02/2019;139;16;11,51079137
05/02/2020;149;15;10,06711409
05/03/2007;112;7;6,25
05/03/2008;112;7;6,25
05/03/2009;128;14;10,9375
05/03/2010;168;22;13,0952381
05/03/2011;371;59;15,90296496
05/03/2012;166;16;9,638554217
05/03/2013;151;13;8,609271523
05/03/2014;160;21;13,125
05/03/2015;165;29;17,57575758
05/03/2016;197;21;10,65989848
05/03/2017;171;19;11,11111111
05/03/2018;133;6;4,511278195
05/03/2019;127;11;8,661417323
05/03/2020;131;21;16,03053435
05/04/2007;196;22;11,2244898
05/04/2008;226;37;16,37168142
05/04/2009;185;34;18,37837838
05/04/2010;201;22;10,94527363
05/04/2011;169;20;11,83431953
05/04/2012;281;29;10,3202847
05/04/2013;199;13;6,532663317
05/04/2014;262;35;13,35877863
05/04/2015;235;36;15,31914894
05/04/2016;145;14;9,655172414
05/04/2017;122;14;11,47540984
05/04/2018;131;7;5,34351145
